rep,gen,scd,wt,unsure
1,0,70,30,0
2,0,70,30,0
3,0,70,30,0
4,0,70,30,0
1,1,36,12,2
2,1,28,22,1
3,1,36,10,4
4,1,25,22,3
1,2,29,18,3
2,2,21,25,4
3,2,28,21,1
4,2,14,35,1
1,3,27,21,2
2,3,8,41,1
3,3,32,17,1
4,3,19,19,2
1,4,27,21,2
2,4,23,24,3
3,4,31,17,2
4,4,18,29,3
1,5,23,25,2
2,5,14,35,1
3,5,25,22,3
4,5,23,26,1
1,9,20,28,2
2,9,14,34,2
3,9,31,18,1
4,9,9,40,1
