rep,treatment,gen,id,leg,primary_teeth,primary_gaps,primary_partial,secondary_teeth,secondary_gaps,secondary_partial,comments
3,HSS,1,7,R,11,0,0,1,0,0
3,HSS,1,8,L,12,1,0,2,0,0
3,HSS,1,8,R,11,0,0,2,1,0
3,HSS,1,9,L,11,0,0,3,1,0
3,HSS,1,9,R,11,0,0,4,1,1
3,HSS,1,10,L,10,0,0,4,1,0
3,HSS,1,10,R,11,0,0,3,0,0
3,HSS,1,11,L,13,1,0,6,1,1
3,HSS,1,11,R,11,0,0,7,1,0
3,HSS,1,12,L,10,0,0,3,0,0
3,HSS,1,12,R,10,0,0,4,0,0
3,HSS,1,13,L,13,0,0,5,1,0
3,HSS,1,13,R,13,0,0,4,1,0
3,HSS,1,14,L,10,1,0,5,0,0
3,HSS,1,14,R,11,0,0,5,1,0
3,HSS,1,15,L,11,1,1,3,0,1
3,HSS,1,15,R,11,0,0,3,2,0
3,HSS,1,16,L,9,0,0,4,1,0
3,HSS,1,16,R,10,0,0,4,1,0
3,HSS,1,17,L,12,1,0,5,1,0
3,HSS,1,17,R,12,0,0,5,2,1
3,HSS,1,18,L,10,0,0,4,1,2
3,HSS,1,18,R,11,0,0,2,0,0
3,HSS,1,19,L,10,0,0,5,1,0
3,HSS,1,19,R,11,0,0,5,2,0
3,HSS,1,20,L,10,0,0,6,1,0
3,HSS,1,20,R,12,0,0,5,1,0
3,LSS,1,1,L,10,0,0,2,0,0
3,LSS,1,1,R,10,0,0,4,2,0
3,LSS,1,2,L,11,0,0,1,0,0
3,LSS,1,2,R,13,0,0,3,1,0
3,LSS,1,3,L,11,0,0,6,1,0
3,LSS,1,3,R,13,0,0,4,0,0
3,LSS,1,4,L,11,0,0,2,0,0
3,LSS,1,4,R,12,0,0,1,0,0
3,LSS,1,5,L,10,0,0,2,0,0
3,LSS,1,5,R,11,0,0,5,1,1
3,LSS,1,6,L,11,0,0,4,1,0
3,LSS,1,6,R,11,0,1,2,0,2
3,LSS,1,7,L,13,1,0,5,1,0
3,LSS,1,7,R,12,0,0,4,0,0
3,LSS,1,8,L,13,1,0,3,1,1
3,LSS,1,8,R,11,0,0,3,1,0
3,LSS,1,9,L,10,0,0,2,0,0
3,LSS,1,9,R,NA,0,0,4,1,0
3,LSS,1,10,L,12,0,0,1,0,0
3,LSS,1,10,R,11,0,0,1,0,0
3,LSS,1,11,L,12,0,0,3,1,0
3,LSS,1,11,R,13,0,0,3,0,0
3,LSS,1,12,L,11,0,0,4,1,0
3,LSS,1,12,R,11,0,0,4,1,1
3,LSS,1,13,L,11,0,0,4,0,1
3,LSS,1,13,R,12,0,0,3,0,0
3,LSS,1,14,L,13,0,0,3,1,1
3,LSS,1,14,R,11,0,0,3,0,0
3,LSS,1,15,L,11,1,0,NA,NA,NA
3,LSS,1,15,R,11,0,0,1,0,1
